Unnamed: 0,names,lat,lng,y_coord,x_coord
82,Парк культуры,55.735221,37.593095,-1.868014870980676,-1.5471252245072895
83,Фрунзенская,55.727462,37.58022,-2.7318781592332964,-2.3555686216722895
84,Спортивная,55.722388,37.562041,-3.2968011797241403,-3.497059266380483
85,Воробьевы горы,55.709169,37.557293,-4.768560386320849,-3.7951943351684947
86,Университет,55.69329,37.534511,-6.5364708721240286,-5.225715146845687
87,Проспект Вернадского,55.676549,37.504584,-8.400348339584973,-7.104882529220643
88,Юго-Западная,55.663146,37.482852,-9.892582253728708,-8.46947167925702
89,Тропарево,55.6459,37.4725,-11.812674874934824,-9.119491251105455
90,Румянцево,55.633,37.4419,-13.248899713709253,-11.040916645000074
91,Саларьево,55.6227,37.424,-14.395650697028334,-12.164887465370427
92,Щелковская,55.809962,37.798261,6.453475304897714,11.335597951834815
93,Первомайская,55.794376,37.799364,4.7181576875440445,11.404857161860253
94,Измайловская,55.787713,37.779896,3.9763124272160852,10.182428863245294
95,Партизанская,55.788401,37.74882,4.052912950924717,8.231114413103088
96,Семеновская,55.783096,37.719289,3.462265240645034,6.376812733832833
97,Электрозаводская,55.782057,37.7053,3.3465851930954793,5.498419542736317
98,Бауманская,55.772405,37.67904,2.2719530067345004,3.849509169261905
99,Площадь Революции,55.756741,37.62236,0.527961743485668,0.2904745048472607
100,Курская,55.758631,37.661059,0.7383894611534659,2.720451301332495
101,Арбатская,55.752122,37.601553,0.01369448964229841,-1.0160328476278797
102,Смоленская,55.749083,37.582173,-0.3246595272837392,-2.2329363933189037
103,Киевская,55.74361,37.56735,-0.9340080773153653,-3.1636980399308676
104,Славянский бульвар,55.729542,37.470973,-2.5002974396104536,-9.215374157071317
105,Кунцевская,55.730815,37.446754,-2.358565546791275,-10.736125866003503
106,Молодежная,55.741375,37.415627,-1.1828465844315081,-12.690642015823153
107,Крылатское,55.756842,37.408139,0.5392068209301186,-13.160825909998293
108,Строгино,55.803831,37.402405,5.770860102451517,-13.520873219740821
109,Мякинино,55.823342,37.385214,7.943184323353765,-14.600324299744532
110,Волоколамская,55.835154,37.382453,9.258317297803362,-14.773691996771799
111,Митино,55.846098,37.36122,10.476810530737652,-16.106946526346583
112,Пятницкое шоссе,55.853634,37.353108,11.315861963883703,-16.616312073462012
113,Пионерская,55.736027,37.466728,-1.7782772374079059,-9.481924862244826
114,Филевский парк,55.739665,37.483902,-1.3732330317064507,-8.403540402365829
115,Багратионовская,55.743544,37.497042,-0.9413563298372202,-7.578457526302146
116,Фили,55.746763,37.514035,-0.5829619210663054,-6.511438148412056
117,Кутузовская,55.740833,37.533333,-1.2431913003937625,-5.299683781570473
118,Студенческая,55.738761,37.54842,-1.4738817518715581,-4.352345221311301
119,Александровский сад,55.752255,37.608775,0.02850235273673324,-0.5625510349317443
120,Выставочная,55.750243,37.542641,-0.1955082935787323,-4.715218532165191
121,Международная,55.748324,37.533282,-0.40916450226141066,-5.302886158786734
122,Алтуфьево,55.899034,37.586473,16.370678838246775,-1.9629319975671649
